domain,price,registrar,expiration_date,purchase_price
BestElektro.com,1099$,NameBright,2026-11-30,13$
bewob.com,499$,Spaceship,2026-11-02,
bikerentalhouston.com,220$,Spaceship,2026-12-10,8$
bkBee.com,1238$,Gname,2027-02-22,
blazepilot.com,399$,Unstoppable,2026-11-14,5$
blhsolutions.com,345$,Gname,2027-03-09,26.00$
bloomscafe.com,1099$,Gname,2027-02-21,11.50$
blumhost.com,1238$,Gname,2026-12-29,21$
bnfsj.com,99$,Spaceship,2026-11-21,8$
Bpsab.com,1099$,Gname,2027-05-03,$26.00
browshouston.com,100$,Unstoppable,2026-11-07,5$
buildiqo.com,390$,Unstoppable,2026-12-19,6$
bumiy.com,580$,NameBright,2026-11-09,5$
bushcraftgoods.com,720$,Unstoppable,2026-12-12,6$
CaptNet.com,99$,NameBright,2026-12-18,13$
care-for.com,1980$,NameBright,2026-12-26,59$
carpetshock.com,1138$,NameBright,2027-01-19,
CarrotCar.com,99$,NameBright,2027-02-02,
CarsServices.com,1238$,NameBright,2026-12-03,120$
Cenergy.net,2999$,NameBright,2026-12-18,18$
ceramSite.com,1499$,Gname,2027-02-24,13.00$
charlottedrycleaning.com,99$,NameBright,2026-12-04,
chicagopaintingservices.com,499$,Spaceship,2026-11-12,10$
ciepay.com,999$,Unstoppable,2026-11-21,5$
circleclouds.com,1980$,Gname,2027-04-11,16$
cksms.com,99$,Spaceship,2026-11-19,9$
clawbold.com,1099$,Unstoppable,2027-04-16,8$
clawbold.info,1099$,Unstoppable,2027-04-16,0$
clawbold.link,1099$,Unstoppable,2027-04-16,0$
clawinstances.com,2870$,Unstoppable,2027-04-19,8$
clawinstances.info,199$,Unstoppable,2027-04-19,0$
clawinstances.link,780$,Unstoppable,2027-04-19,0$
cleaningSolarPanels.com,299$,Gname,2027-01-31,$26.00
cleaningSolutionService.com,405$,NameBright,2026-12-04,
clickwi.com,380$,Unstoppable,2026-12-19,6$
clicwi.com,499$,Unstoppable,2026-12-19,6$
climaNext.com,2099$,Gname,2027-01-25,242$
cloudproductive.com,1788$,Gname,2027-04-11,16$
clyvero.com,2499$,NameBright,2026-12-04,9$
codelabsai.com,390$,Gname,2027-01-08,48$
codynai.com,2890$,Unstoppable,2026-11-28,5$
colorpiker.com,99$,Spaceship,2026-12-16,9$
consoleclaw.com,2870$,Unstoppable,2027-04-19,8$
consoleclaw.info,199$,Unstoppable,2027-04-19,0$
consoleclaw.link,780$,Unstoppable,2027-04-19,0$
CookiesHome.com,1099$,NameBright,2026-11-27,43$
cprim.com,2138$,Gname,2026-12-24,21$
craftedclaw.com,1499$,Unstoppable,2027-04-24,8$
craftedclaw.info,399$,Unstoppable,2027-04-24,0$
craftedclaw.link,399$,Unstoppable,2027-04-24,0$
CraxPro.com,1238$,Gname,2027-01-01,21$
crisisdepot.com,480$,Unstoppable,2026-12-12,6$
crisisreserve.com,1268$,Unstoppable,2026-12-12,6$
cristalinos.com,5999$,Gname,2027-02-07,26$
CrossJewellery.com,975$,NameBright,2027-01-26,26$
cupidea.com,199$,Spaceship,2026-12-01,8$
cursodeai.com,1490$,Spaceship,2027-03-02,
cyprussecrets.com,1299$,Unstoppable,2026-12-19,6$
D-PM.com,99$,NameBright,2027-01-15,
dalk.ai,3099$,Unstoppable,2027-11-25,144.06
davidkarlsson.com,499$,Gname,2027-04-26,16$
deckcontractorsdallas.com,99$,Unstoppable,2026-11-07,5$
decryptix.xyz,150$,Spaceship,2026-11-07,
deepagynt.com,3920$,Unstoppable,2026-12-19,6$
deepuai.com,2099$,Unstoppable,2026-12-13,11$
defensegoods.com,480$,Unstoppable,2026-12-12,6$
deltaOutlet.com,3099$,Unstoppable,2027-05-22,7.67
deltaoutlet.info,0$,Unstoppable,2027-05-22,0
DevTie.com,99$,Spaceship,2027-02-20,
digibrio.com,499$,Gname,2027-02-26,16.00$
DnsPremium.com,1200$,NameBright,2026-11-26,174$
dulviro.com,2870$,Unstoppable,2026-11-14,5$
EasiBox.com,1099$,Gname,2027-01-31,13$
educsmart.com,99$,Spaceship,2026-12-02,9$
efrend.com,99$,Spaceship,2026-12-10,9$
ElectronicSoft.com,4099$,NameBright,2026-12-17,23$
elinkapp.com,380$,Gname,2027-04-25,$13.00
ElixirPerfume.com,1099$,Gname,2027-05-17,$26.00
eltopay.com,999$,Unstoppable,2026-12-19,6$
emiratessecrets.com,1010$,Unstoppable,2026-12-19,6$
encodeclaw.com,399$,Unstoppable,2027-04-24,7.99
encodeclaw.info,399$,Unstoppable,2027-04-24,0$
encodeclaw.link,399$,Unstoppable,2027-04-24,0$
endeavourmetals.com,99$,Spaceship,2027-02-22,
EnergiesCanner.com,499$,NameBright,2027-01-02,
energyhelio.com,99$,Unstoppable,2026-12-19,6$
energyHood.com,2399$,Gname,2027-05-06,16$
esolin.com,99$,NameBright,2026-12-02,9$
expeditiontools.com,480$,Unstoppable,2026-12-12,6$
expertJewelry.com,2480$,Gname,2027-01-25,16$
explire.com,299$,Unstoppable,2026-11-14,5$
factoapp.com,599$,Gname,2027-04-15,16$
FastPrintServices.com,199$,NameBright,2026-12-18,13$
fastvault.xyz,499$,Spaceship,2026-11-07,
FibMax.com,2099$,Gname,2027-02-07,59$
fime.ai,10999$,Unstoppable,2027-11-25,144.06
financialplannings.com,1099$,Gname,2027-01-28,64$
FlightsZone.com,1238$,NameBright,2027-01-02,
fluorconsulting.com,1400$,Unstoppable,2027-03-10,11$
fluorconsulting.info,99$,Unstoppable,2027-03-10,0$
fluorconsulting.link,99$,Unstoppable,2027-03-10,0$
flybasket.com,2890$,Gname,2027-01-27,16$
flybox.net,2999$,NameBright,2026-12-15,68$
flyRater.com,599$,Gname,2027-02-01,21$
focusonic.com,1268$,Spaceship,2026-12-02,9$
focusqai.com,4980$,Unstoppable,2026-12-13,11$
FolkMar.com,99$,NameBright,2027-02-15,
FoodSnow.com,380$,NameBright,2026-11-23,65$
foxwebsolutions.com,99$,Spaceship,2027-03-03,
FreshFilters.com,8700$,NameBright,2027-05-07,
FuturesApp.com,1499$,Gname,2027-03-18,300$
GasPeru.com,1099$,Gname,2027-05-20,$16.00
Gativa.com,1499$,Gname,2027-05-01,16$
GeniusAiSystems.com,220$,NameBright,2027-01-06,21$
GeoDep.com,99$,NameBright,2026-11-24,13$
getfusionai.com,99$,Spaceship,2026-11-05,
getleoai.com,100$,Gname,2027-03-08,13.00$
geupay.com,999$,Unstoppable,2026-11-21,5$
giwpay.com,999$,Unstoppable,2026-11-21,5$
Godnd.com,299$,NameBright,2027-05-10,
gotsolution.com,1099$,Gname,2027-02-07,26$
graverenovation.com,490$,Spaceship,2026-12-31,
happinessphotos.com,99$,Unstoppable,2026-12-12,6$
Happyhe.com,99$,Gname,2026-12-22,21$
haysWork.com,199$,Spaceship,2027-05-23,
headstonegilding.com,290$,NameBright,2026-12-31,
headstonesevices.com,190$,NameBright,2026-12-31,
hessolutions.com,790$,Gname,2027-03-07,16.00$
hitsNews.com,490$,Gname,2027-01-18,16$
HomeProDesign.com,99$,NameBright,2026-12-07,13$
hostky.com,440$,NameBright,2026-11-24,54$
houstoncarinspection.com,240$,Unstoppable,2026-12-12,6$
Hvban.com,2099$,Gname,2027-05-08,$383.00
iberolink.com,1499$,Gname,2027-04-06,26$
iFixel.com,399$,Spaceship,2026-11-20,9$
iMiShop.com,1099$,NameBright,2026-11-26,68$
improvematrix.com,99$,Unstoppable,2026-11-21,5$
inisolutions.com,499$,Gname,2027-04-06,16$
innovateagentic.com,9800$,Unstoppable,2026-11-14,5$
innovatepilot.com,9800$,Unstoppable,2026-11-14,5$
instancesclaw.com,2870$,Unstoppable,2027-04-19,8$
instancesclaw.info,199$,Unstoppable,2027-04-19,0$
instancesclaw.link,780$,Unstoppable,2027-04-19,0$
iofpay.com,999$,Unstoppable,2026-11-21,5$
iopPay.com,999$,NameBright,2026-11-20,9$
ioppay.info,999$,NameBright,2026-12-31,
ioppay.online,999$,NameBright,2026-11-20,
iransecrets.com,1010$,Unstoppable,2026-12-19,6$
itaLike.com,99$,Spaceship,2026-12-28,9$
izonyc.com,780$,Unstoppable,2026-11-28,5$
ja724.com,149$,NameBright,2026-11-05,8$
ja724.info,149$,NameBright,2027-01-01,0$
ja724.online,149$,NameBright,2026-11-05,0$
jameswilde.com,378$,Gname,2027-03-04,26.00$
jimmyplumbing.com,740$,Spaceship,2027-04-22,
jmias.com,60$,NameBright,2026-11-27,18$
JoelMac.com,99$,Spaceship,2027-02-02,3$
kamRoofing.com,790$,Gname,2027-05-23,$16.00
KanFly.com,1190$,Gname,2027-04-07,$16.00
katieMill.com,99$,Gname,2027-02-05,16$
KDRinc.com,933$,Gname,2027-03-10,16$
kennislab.com,2400$,Gname,2027-04-25,$26.00
KetoOk.com,99$,NameBright,2026-12-21,
kevinglover.com,349$,Gname,2027-04-18,16$
kidotoy.com,890$,NameBright,2026-12-04,9$
kidotoy.info,60$,NameBright,2027-01-02,60$
kidotoy.online,60$,NameBright,2026-12-04,250$
kLearLink.com,1099$,Gname,2027-04-13,66$
klimatis.com,99$,Unstoppable,2027-01-10,11$
kliox.com,1399$,Gname,2027-05-19,$65.00
kufun1.com,99$,Unstoppable,2026-11-14,5$
ladopi.com,399$,Unstoppable,2026-12-09,10$
lamutu.com,1099$,NameBright,2026-11-09,5$
landmarksolution.com,1490$,Gname,2027-02-02,26$
leadengineai.com,1099$,Gname,2027-04-18,26$
lendformula.com,1138$,NameBright,2026-12-02,9$
LetTry.com,1100$,NameBright,2026-12-08,28$
LewesRoofing.com,399$,Spaceship,2027-05-02,
lhssd.com,90$,Spaceship,2026-11-02,
likafy.com,99$,Unstoppable,2026-12-19,6$
liketro.com,1238$,Unstoppable,2026-12-09,10$
linecoder.com,880$,Unstoppable,2026-12-19,11$
LinkProjects.com,2999$,NameBright,2027-01-02,389$
lissgo.com,99$,Gname,2026-12-28,21$
LlCall.com,99$,NameBright,2026-11-27,13$
locksmithkanata.com,120$,Spaceship,2026-11-04,10$
locksmithoviedofl.com,130$,Spaceship,2026-11-03,10$
locksmithRotherham.com,99$,Gname,2027-01-25,11.50$
locksmiththurrock.co.uk,99$,Spaceship,PENDING_PARSE,5$
locksmiththurrock.com,120$,Spaceship,2026-11-03,10$
lonyva.com,780$,Unstoppable,2026-11-28,5$
LuxuryHands.com,1238$,NameBright,2026-12-08,24$
lylyf.com,780$,Unstoppable,2026-11-28,5$
lylyp.com,780$,Unstoppable,2026-11-28,5$
lylyx.com,780$,Unstoppable,2026-11-28,5$
MagicalMining.com,499$,NameBright,2027-05-18,
MailUu.com,300$,NameBright,2026-11-27,13$
makerllm.com,1499$,Unstoppable,2027-03-06,5.99
malaysiasecrets.com,1010$,Unstoppable,2026-12-19,6$
marcoautolocksmith.com,99$,Unstoppable,2026-11-07,5$
MaxIncomes.com,890$,NameBright,2026-11-18,13$
mechhelp.com,299$,Spaceship,2027-02-23,8$
meda247.com,1099$,Spaceship,2027-03-01,8$
MelbourneSecurity.com,1980$,Gname,2027-05-08,26$
metadil.com,4099$,NameBright,2026-11-29,10$
mgfloor.com,1099$,Spaceship,2026-12-21,3$
micronindia.com,99$,Gname,2027-02-28,16.00$
mikechester.com,120$,Gname,2027-02-15,16.00$
milwaukeelimousineservices.com,120$,Unstoppable,2026-11-28,5$
MiningAi.com,34000$,Gname,2027-01-17,790$
mipapay.com,999$,Unstoppable,2026-12-19,6$
MiriamAllen.com,99$,Spaceship,2027-02-04,
monocoder.com,1099$,Unstoppable,2026-12-19,11$
ms-store.com,99$,Unstoppable,2026-11-14,5$
Muafa.com,5890$,Gname,2027-05-09,$43.00
myiwe.com,99$,Spaceship,2026-11-06,
myTins.com,385$,Gname,2027-01-19,16.00$
nameiro.com,1128$,Unstoppable,2026-11-21,5$
NashVilleTechnologyCouncil.com,99$,Unstoppable,2026-11-07,5$
navesbarcelona.com,1328$,Gname,2027-02-02,16$
netsek.com,980$,NameBright,2026-11-25,38$
newcore.xyz,780$,Spaceship,2026-11-07,
ngpub.com,1099$,NameBright,2027-03-09,
nikum.com,1780$,Gname,2027-03-04,$155.00
nimje.com,499$,NameBright,2026-11-27,28$
NobsSolutions.com,788$,NameBright,2027-02-26,
novyty.com,780$,Unstoppable,2026-11-28,5$
nuvoclaw.com,1499$,Unstoppable,2027-04-16,8$
nuvoclaw.info,1099$,Unstoppable,2027-04-16,0$
nuvoclaw.link,1099$,Unstoppable,2027-04-16,0$
OilsShop.com,1238$,NameBright,2026-11-27,33$
oklocksmiths.com,890$,Gname,2027-02-15,16.00$
OLQG.com,2268$,NameBright,2026-10-25,100$
onchaininitiate.com,399$,Unstoppable,2026-11-14,5$
OpenBeachHouse.com,930$,Spaceship,2027-01-27,
openboxlabs.com,699$,Gname,2027-04-25,$43.00
openfta.com,499$,Gname,2027-04-10,16$
optimizematrix.com,99$,Unstoppable,2026-11-21,5$
OrigenWeb.com,499$,NameBright,2027-02-03,
osuss.com,3099$,Gname,2027-03-04,$255.00
Otpcode.com,99$,NameBright,2026-12-19,
OttawaRealEstateBroker.com,243$,Spaceship,2026-11-02,10$
ozzok.com,0$,Spaceship,2027-05-15,
paintingvenus.com,199$,Unstoppable,2026-11-14,5$
paragonparalegal.com,790$,Unstoppable,2027-05-13,7.67
parentpsy.com,99$,NameBright,2026-12-02,9$
paybap.com,999$,Unstoppable,2026-11-28,5$
paycac.com,780$,Unstoppable,2026-11-28,5$
paycib.com,999$,Unstoppable,2026-11-28,5$
paycid.com,1099$,Unstoppable,2026-11-28,5$
paycif.com,999$,Unstoppable,2026-11-28,5$
payciv.com,999$,Unstoppable,2026-11-28,5$
paydak.com,999$,Unstoppable,2026-11-28,5$
payfiv.com,999$,Unstoppable,2026-11-28,5$
payfot.com,999$,Unstoppable,2026-11-28,5$
paygib.com,999$,Unstoppable,2026-11-28,5$
paygim.com,999$,Unstoppable,2026-11-28,5$
paygok.com,999$,Unstoppable,2026-11-28,5$
paykib.com,999$,Unstoppable,2026-11-28,5$
paykic.com,999$,Unstoppable,2026-11-28,5$
paykif.com,999$,Unstoppable,2026-11-28,5$
paykig.com,999$,Unstoppable,2026-11-28,5$
paymif.com,999$,Unstoppable,2026-11-28,5$
paymip.com,999$,Unstoppable,2026-11-28,5$
paymok.com,999$,Unstoppable,2026-11-28,5$
paynaf.com,999$,Unstoppable,2026-11-28,5$
paynif.com,999$,Unstoppable,2026-11-28,5$
paypib.com,999$,Unstoppable,2026-11-28,5$
paytaf.com,999$,Unstoppable,2026-11-28,5$
pearlBright.com,10899$,Gname,2026-12-13,248$
persistclaw.com,1890$,Unstoppable,2027-04-24,8$
persistclaw.info,399$,Unstoppable,2027-04-24,0$
persistclaw.link,399$,Unstoppable,2027-04-24,0$
Peyad.com,499$,Spaceship,2026-11-02,
picafit.com,99$,Spaceship,2027-03-10,
pithyAi.com,1099$,Gname,2027-04-24,16$
pizzagreenbay.com,99$,Spaceship,2026-11-02,10$
Plimetal.com,1400$,Gname,2027-02-20,16.00$
PlumberInBoston.com,680$,NameBright,AVAILABLE,13$
powerhelio.com,1010$,Unstoppable,2026-12-19,6$
powerOfMedia.com,99$,Gname,2027-01-25,26$
powerreact.com,1010$,Unstoppable,2026-12-19,6$
pps247.com,1099$,Spaceship,2027-03-01,8$
prepreserve.com,1268$,Unstoppable,2026-12-12,6$
princejewellers.com,690$,Gname,2027-02-03,16.00$
proExpertRoofing.com,150$,Gname,2027-05-07,$9.50
proLanda.com,2490$,Gname,2027-01-19,26.00$
pulsoni.com,99$,Spaceship,2026-12-20,9$
qftechnology.com,1099$,Gname,2027-03-12,16$
rayLees.com,99$,Gname,2027-02-05,13$
RedBlackBlue.com,1538$,Spaceship,2027-02-25,
Reparados.com,499$,NameBright,2026-11-27,18$
resolvellm.com,1499$,Unstoppable,2027-03-06,5.99
restaurAi.com,199$,Gname,2027-01-08,21$
resultllm.com,1499$,Unstoppable,2027-03-06,5.99
roofingyoungstown.com,120$,Unstoppable,2026-11-07,5$
RoyalBaker.com,2780$,NameBright,2026-12-19,88$
royalcop.com,99$,NameBright,2027-03-01,
runtire.com,780$,Gname,2027-02-18,26.00$
SalePhones.com,3099$,NameBright,2026-12-19,18$
salkai.com,788$,Gname,2027-03-07,16.00$
SalonFame.com,890$,NameBright,2026-11-27,13$
samaclean.com,890$,Gname,2027-02-08,26.00$
sasvan.com,299$,Unstoppable,2026-11-14,5$
satisfyai.com,3299$,Gname,2027-05-01,116$
SatLight.com,4999$,NameBright,2026-12-13,18$
saudiTrek.com,499$,Spaceship,2027-05-08,8$
scholarsbox.com,839$,Unstoppable,2027-04-08,7.99
scholarsbox.info,839$,Unstoppable,2027-04-08,0
scholarsbox.link,839$,Unstoppable,2027-04-08,0
ScriptThink.com,890$,NameBright,2027-01-15,13$
sedaCare.com,2287$,Gname,2027-05-06,26$
sepsecurity.com,780$,Gname,2027-04-26,16$
siretec.com,2060$,Gname,2027-04-12,16$
Skyix.com,7800$,NameBright,2026-12-24,151$
skystroy.com,1238$,Gname,2026-12-24,21$
smartagynt.com,3920$,Unstoppable,2026-12-19,6$
smartuai.com,890$,Unstoppable,2026-12-19,5.99
smilii.com,2499$,Gname,2026-12-18,50$
snowsa.com,590$,Unstoppable,2026-12-09,10$
sodiat.com,1499$,Spaceship,2026-12-15,9$
softCi.com,1099$,NameBright,2026-12-03,10$
solaramericas.com,799$,Gname,2027-01-01,21$
SolarEnergys.com,4099$,NameBright,2026-12-07,24$
solveqai.com,2099$,Unstoppable,2026-12-13,11$
speddly.com,99$,Unstoppable,2026-12-19,6$
spincoder.com,680$,Unstoppable,2026-12-19,5.99
spivio.com,1268$,Spaceship,2026-12-10,9$
sporapp.com,599$,Gname,2027-04-30,16$
spotiPremium.com,99$,Spaceship,2026-12-15,9$
stablebalances.com,99$,Unstoppable,2026-11-07,11$
stablesfusion.com,99$,Unstoppable,2026-11-07,11$
StablesMatrix.com,99$,Unstoppable,2026-11-07,11$
stablesverse.com,99$,Unstoppable,2026-11-07,11$
stableswallets.com,3500$,Unstoppable,2026-11-07,11$
sterkte.de,780$,Spaceship,2027-01-03,
storric.com,99$,Unstoppable,2026-12-19,6$
strongbridge.xyz,500$,Spaceship,2026-11-07,
survival-bag.com,586$,Unstoppable,2026-12-12,6$
survival-bags.com,586$,Unstoppable,2026-12-12,6$
survival-home.com,586$,Unstoppable,2026-12-12,6$
survivalarmory.com,1099$,Unstoppable,2026-12-12,6$
survivalreserve.com,2260$,Unstoppable,2026-12-12,6$
techmorpho.com,199$,Spaceship,2027-02-23,8$
TechScrap.com,2238$,NameBright,2026-11-19,13$
TekniSoft.com,890$,NameBright,2026-11-17,13$
terrycorby.com,299$,Gname,2027-04-22,16$
theaiuni.com,890$,Gname,2027-02-08,16.00$
theBandCompany.com,1780$,Gname,2027-05-13,$26.00
thebuyeragency.com,1099$,Gname,2027-04-30,16$
thephlox.com,99$,Spaceship,2027-03-05,
theswad.com,199$,Gname,2027-04-09,16$
tictruck.com,99$,Gname,2027-03-13,26$
tinyHomeOffices.com,1099$,Spaceship,2027-03-02,
tinyhomepro.com,980$,Gname,2027-02-23,13.00$
tinyhomestudio.com,88$,Spaceship,2027-03-02,
tinyhousecraft.com,99$,Spaceship,2027-03-02,
tinyHouseOffices.com,1099$,Spaceship,2027-03-02,
tinyhouseproltd.com,88$,Spaceship,2027-03-02,
tinyhousesystems.com,88$,Spaceship,2027-03-02,
TipDeal.com,99$,NameBright,2026-12-18,13$
tireBrokers.com,1999$,Gname,2027-01-22,500$
TiShirts.com,1099$,NameBright,2026-11-20,13$
tombcleaners.com,490$,Spaceship,2026-12-31,
tombcleaning.com,490$,NameBright,2026-12-31,
tombservices.com,490$,NameBright,2026-12-31,
trymusic.com,17800$,Gname,2026-12-26,525$
tuiit.com,1099$,NameBright,2026-12-04,9$
TupiApp.com,1099$,Gname,2027-03-18,26$
tylersanford.com,349$,Unstoppable,2027-04-19,8$
tylersanford.info,199$,Unstoppable,2027-04-19,0$
tylersanford.link,199$,Unstoppable,2027-04-19,0$
ucj.ai,6888$,Unstoppable,2027-11-25,144.06
uicpay.com,999$,Spaceship,2026-12-05,10$
UltraIa.com,7666$,Gname,2026-12-22,63$
unstoppableEvent.com,1099$,Unstoppable,2027-04-17,8$
unstoppableevent.info,399$,Unstoppable,2027-04-17,0$
unstoppableevent.link,399$,Unstoppable,2027-04-17,0$
vakgpt.com,299$,Gname,2027-04-16,16$
vapiv.com,890$,Spaceship,2026-12-10,9$
VatEasy.com,1238$,NameBright,2026-12-28,13$
vavyro.com,1238$,Unstoppable,2026-11-28,5$
VidalCleaning.com,670$,Spaceship,2027-02-01,3$
VideosTools.com,199$,NameBright,2026-12-14,11$
vihasolutions.com,99$,Gname,2027-03-09,16.00$
vikapp.com,788$,Gname,2027-03-13,26$
vividjewellery.com,1099$,Gname,2027-02-07,11$
vk247.com,1200$,Spaceship,2027-03-01,8$
voltcoder.com,700$,Unstoppable,2026-12-19,11$
wa855.com,99$,NameBright,2026-11-13,
waedit.com,370$,NameBright,2026-11-09,5$
warmemorialcare.com,290$,Spaceship,2026-12-31,
WebStrom.com,2499$,NameBright,2026-12-29,
websync.xyz,900$,Spaceship,2026-11-07,
weprotec.com,1399$,Gname,2027-04-11,16$
WestMarines.com,99$,NameBright,2026-12-27,13$
whichflight.com,680$,NameBright,2026-11-15,13$
wiipro.com,99$,Spaceship,2026-12-20,9$
wildernessbag.com,586$,Unstoppable,2026-12-12,6$
wildernessbags.com,586$,Unstoppable,2026-12-12,6$
wisestables.xyz,300$,Spaceship,2026-11-07,
woolope.com,1099$,Unstoppable,2026-11-07,5$
writeconsulting.com,1238$,Gname,2027-03-06,16.00$
WtCare.com,1238$,NameBright,2026-11-27,53$
xbisolutions.com,119$,Unstoppable,2027-03-10,9$
xbisolutions.info,119$,Unstoppable,2027-03-10,0$
xbisolutions.link,119$,Unstoppable,2027-03-10,0$
Yaafa.com,1490$,Spaceship,2027-02-26,
YesBoat.com,1433$,NameBright,2027-02-06,21$
youPid.com,1199$,Gname,2027-01-19,26.00$
ZapRun.com,2999$,NameBright,2027-02-19,
zenovasolutions.com,120$,Gname,2027-03-03,16.00$
zonextrem.com,480$,Spaceship,2026-12-17,
Zoslabs.com,99$,Unstoppable,2026-11-07,5$
ztf.ai,9800$,Unstoppable,2027-11-25,144.06
